union_candidate_id,representative_time,representative_epoch_s,representative_time_basis,branch_membership,branch_count,template_candidate_id,template_origin_time,template_origin_epoch_s,template_bank_score,template_threshold,generic_candidate_id,generic_trigger_time,generic_trigger_epoch_s,generic_coincidence_score,generic_threshold,generic_station_support_count,cross_branch_time_difference_s,union_generation_rule,catalog_fields_used_in_grouping,family_assignment,adjudication_stage,target_region_catalog_association,target_region_catalog_event_id,target_region_catalog_origin_time,broader_catalog_association,broader_catalog_event_id,broader_catalog_origin_time,broader_catalog_location_name,broader_catalog_magnitude,broader_catalog_horizontal_distance_km,known_event_class,local_extension_disposition,eligible_uncataloged_local_extension_candidate
network_union_dev_0001,2025-01-20T05:14:13.350Z,1737350053.35,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_dev_0001,2025-01-20T05:14:13.350Z,1737350053.35,3.5862839221954346,1.5937319993972778,6,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_time_only_union_catalog_audit,none,,,physically_plausible_known_event_arrival,75120096,2025-01-20T05:13:45.010Z,"Carpinteria, CA",2.3,197.19945589572728,known_regional_arrival_outside_target_region,veto_from_uncataloged_local_extension_count_retain_in_raw_union,False
network_union_dev_0002,2025-01-20T05:14:48.750Z,1737350088.75,template_origin,template_bank+generic_trigger,2,network_dev_0001,2025-01-20T05:14:48.750Z,1737350088.75,0.12809595465660095,0.10883580148220062,network_generic_dev_0002,2025-01-20T05:14:50.850Z,1737350090.85,3.3636837005615234,1.5937319993972778,5,2.0999999046325684,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_time_only_union_catalog_audit,known_target_region_event,75120101,2025-01-20T05:14:48.490Z,physically_plausible_known_event_arrival,75120101,2025-01-20T05:14:48.490Z,"Bradley, CA",1.0,0.10729776174163695,known_target_region_event,retain_known_event_not_catalog_extension,False
network_union_dev_0003,2025-01-20T05:24:29.100Z,1737350669.1,template_origin,template_bank+generic_trigger,2,network_dev_0002,2025-01-20T05:24:29.100Z,1737350669.1,0.14153945446014404,0.10883580148220062,network_generic_dev_0003,2025-01-20T05:24:31.150Z,1737350671.15,4.4431562423706055,1.5937319993972778,5,2.0500001907348633,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned,post_time_only_union_catalog_audit,known_target_region_event,75120116,2025-01-20T05:24:29.130Z,physically_plausible_known_event_arrival,75120116,2025-01-20T05:24:29.130Z,"Bradley, CA",2.1,0.029792546611089172,known_target_region_event,retain_known_event_not_catalog_extension,False
