event_id,origin_time,latitude,longitude,depth_km,magnitude,horizontal_distance_m,east_m,north_m,depth_difference_km,requested_start_utc,requested_end_utc,coverage_complete,coverage_segment_id,intersecting_file_count,source_files,source_files_exist,family_neighborhood_gate,nomination_status,family_label,waveform_access_status
75003091,2024-05-08T01:25:43.140Z,36.03067,-120.6045,-0.74,0.9,2690.957635084614,-2420.172024668122,1176.4439488704857,-5.571000000000001,2024-05-08T01:25:33.140Z,2024-05-08T01:26:13.140Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75003116,2024-05-08T02:51:09.790Z,35.9,-120.43833,6.37,0.1,18307.80682355875,12524.45767949793,-13353.41718524549,1.5389999999999997,2024-05-08T02:50:59.790Z,2024-05-08T02:51:39.790Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75004276,2024-05-10T12:29:58.410Z,35.9955,-120.5645,2.76,1.1,2976.9557162893093,1177.2594501270046,-2734.287022942957,-2.0710000000000006,2024-05-10T12:29:48.410Z,2024-05-10T12:30:28.410Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75004856,2024-05-11T09:46:31.440Z,36.0375,-120.607,2.19,0.6,3277.7765597755165,-2645.011491842578,1935.906346865602,-2.6410000000000005,2024-05-11T09:46:21.440Z,2024-05-11T09:47:01.440Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75005361,2024-05-12T04:29:12.240Z,36.03533,-120.60934,2.47,1.0,3320.447582893917,-2855.4612331184003,1694.6130227588847,-2.361,2024-05-12T04:29:02.240Z,2024-05-12T04:29:42.240Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75005956,2024-05-13T09:30:29.090Z,35.99217,-120.55483,4.0,0.7,3718.6410532915106,2046.9385091585766,-3104.5666401204303,-0.8310000000000004,2024-05-13T09:30:19.090Z,2024-05-13T09:30:59.090Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75006381,2024-05-14T03:16:53.640Z,36.043,-120.60533,0.03,0.3,3565.6375598175573,-2494.81872776952,2547.4792881497933,-4.801,2024-05-14T03:16:43.640Z,2024-05-14T03:17:23.640Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75008786,2024-05-18T17:40:29.650Z,36.08617,-120.665,2.22,0.8,10760.556331842368,-7861.28713029532,7347.770901831796,-2.611,2024-05-18T17:40:19.650Z,2024-05-18T17:40:59.650Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75010621,2024-05-22T15:44:38.780Z,36.03783,-120.59783,3.94,0.9,2684.147330431596,-1820.3003262461527,1972.6007233424639,-0.8910000000000005,2024-05-22T15:44:28.780Z,2024-05-22T15:45:08.780Z,True,2,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-22T154357Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-22T154457Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75010721,2024-05-22T21:31:27.080Z,35.98317,-120.54617,2.88,2.0,4983.8457041170595,2825.7824234508707,-4105.322362222264,-1.9510000000000005,2024-05-22T21:31:17.080Z,2024-05-22T21:31:57.080Z,True,2,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-22T213057Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75012011,2024-05-25T04:56:28.150Z,35.9275,-120.48317,4.65,1.4,13345.710848722947,8491.736996252524,-10295.552478822956,-0.18100000000000005,2024-05-25T04:56:18.150Z,2024-05-25T04:56:58.150Z,True,2,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-25T045557Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-25T045657Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75012236,2024-05-26T04:15:09.970Z,35.94067,-120.47066,-0.55,0.2,13056.494623233684,9616.833689995066,-8831.113272147855,-5.381,2024-05-26T04:14:59.970Z,2024-05-26T04:15:39.970Z,True,2,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-26T041457Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75012366,2024-05-26T18:33:36.800Z,35.97783,-120.53333,6.17,1.7,6158.443038953482,3980.557926859663,-4699.1040906697635,1.3389999999999995,2024-05-26T18:33:26.800Z,2024-05-26T18:34:06.800Z,True,2,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-26T183257Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_21052024_234236_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-26T183357Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75012841,2024-05-28T07:03:11.380Z,35.797,-120.72617,7.34,1.2,28176.65029625231,-13362.659213124005,-24806.51044929955,2.5089999999999995,2024-05-28T07:03:01.380Z,2024-05-28T07:03:41.380Z,True,6,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-28T070204Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-28T070304Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75013057,2024-05-29T08:03:40.730Z,36.09833,-120.68034,4.06,1.5,12691.83143582557,-9240.902100878568,8699.903077470934,-0.7710000000000008,2024-05-29T08:03:30.730Z,2024-05-29T08:04:10.730Z,True,6,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-29T080304Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-29T080404Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75013992,2024-05-31T23:17:32.540Z,35.80183,-120.73167,9.93,0.9,27946.924013679156,-13857.306040908063,-24269.43821177098,5.098999999999999,2024-05-31T23:17:22.540Z,2024-05-31T23:18:02.540Z,True,15,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_31052024_164225_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-31T231625Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_31052024_164225_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-31T231725Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75014212,2024-06-01T12:19:21.300Z,35.9705,-120.53333,5.37,0.6,6800.797478633586,3980.557926859663,-5514.1640287811215,0.5389999999999997,2024-06-01T12:19:11.300Z,2024-06-01T12:19:51.300Z,True,15,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_31052024_164225_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-01T121825Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_31052024_164225_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-01T121925Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75016247,2024-06-04T18:01:39.150Z,35.8,-120.73483,10.37,1.8,28264.928426734758,-14141.503127417576,-24472.925208598936,5.538999999999999,2024-06-04T18:01:29.150Z,2024-06-04T18:02:09.150Z,True,15,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_31052024_164225_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-04T180125Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75016937,2024-06-06T02:33:21.100Z,35.801,-120.73267,10.39,1.5,28071.68412207951,-13947.241827778356,-24361.730128364874,5.559,2024-06-06T02:33:11.100Z,2024-06-06T02:33:51.100Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-06T023235Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-06T023335Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75017277,2024-06-07T00:01:36.490Z,36.01417,-120.57317,2.21,0.8,768.9895465981218,397.51617796444805,-658.2748749828769,-2.6210000000000004,2024-06-07T00:01:26.490Z,2024-06-07T00:02:06.490Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-07T000035Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-07T000135Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75017367,2024-06-07T10:50:08.750Z,35.867,-120.41,5.47,1.8,22736.59990348353,15072.338521520896,-17022.854832952213,0.6389999999999993,2024-06-07T10:49:58.750Z,2024-06-07T10:50:38.750Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-07T104935Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-07T105035Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75017507,2024-06-07T21:48:23.430Z,36.12617,-120.691,5.66,2.0,15593.837487039775,-10199.61758891145,11795.574111173017,0.8289999999999997,2024-06-07T21:48:13.430Z,2024-06-07T21:48:53.430Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-07T214735Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-07T214835Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75018832,2024-06-08T21:38:27.840Z,36.03283,-120.59167,3.29,0.7,1900.0875129635901,-1266.2958791270362,1416.6253221745148,-1.5410000000000004,2024-06-08T21:38:17.840Z,2024-06-08T21:38:57.840Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-08T213735Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-08T213835Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75019617,2024-06-09T07:50:26.100Z,35.79683,-120.73883,12.61,1.0,28750.43138074078,-14501.246274896193,-24825.41361293893,7.778999999999999,2024-06-09T07:50:16.100Z,2024-06-09T07:50:56.100Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-09T074935Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-09T075035Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75019807,2024-06-09T14:40:53.120Z,36.00033,-120.55967,1.41,1.1,2724.9158302084516,1611.6493007082984,-2197.214785415178,-3.4210000000000003,2024-06-09T14:40:43.120Z,2024-06-09T14:41:23.120Z,True,20,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-09T144035Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75019887,2024-06-09T16:35:44.120Z,35.99983,-120.56017,2.63,1.8,2744.021502459787,1566.6814072731518,-2252.81232553142,-2.2010000000000005,2024-06-09T16:35:34.120Z,2024-06-09T16:36:14.120Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-09T163435Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-09T163535Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75020092,2024-06-10T01:19:14.660Z,36.00733,-120.565,3.63,0.8,1815.2733373176811,1132.291556691858,-1418.8492237798914,-1.2010000000000005,2024-06-10T01:19:04.660Z,2024-06-10T01:19:44.660Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T011835Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T011935Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75020097,2024-06-10T01:20:17.870Z,36.006,-120.56284,4.33,0.6,2052.903449650336,1326.5528563310784,-1566.7386804908172,-0.5010000000000003,2024-06-10T01:20:07.870Z,2024-06-10T01:20:47.870Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T011935Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T012035Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75020102,2024-06-10T01:22:25.040Z,36.004,-120.572,3.46,0.6,1858.4215268603812,502.74104860235923,-1789.1288409581548,-1.3710000000000004,2024-06-10T01:22:15.040Z,2024-06-10T01:22:55.040Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T012135Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T012235Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75020332,2024-06-10T14:27:27.830Z,35.99933,-120.5605,1.25,0.7,2773.289219116812,1537.0025976056227,-2308.409865648452,-3.5810000000000004,2024-06-10T14:27:17.830Z,2024-06-10T14:27:57.830Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T142635Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-10T142735Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75021072,2024-06-12T01:58:45.580Z,36.0155,-120.57584,3.88,1.5,534.1012453873972,157.38762702237466,-510.38541827195115,-0.9510000000000005,2024-06-12T01:58:35.580Z,2024-06-12T01:59:15.580Z,True,20,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-12T015735Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-12T015835Z.h5,True,True,prospective_candidate_waveform_verification_required,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75023752,2024-06-19T02:13:46.830Z,36.07333,-120.63633,3.65,1.1,7934.417536407387,-5282.82812073584,5920.026071632768,-1.1810000000000005,2024-06-19T02:13:36.830Z,2024-06-19T02:14:16.830Z,True,20,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-19T021335Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75023827,2024-06-19T07:49:04.120Z,35.97383,-120.532,9.94,2.5,6578.0667039459795,4100.172523397486,-5143.884411603649,5.108999999999999,2024-06-19T07:48:54.120Z,2024-06-19T07:49:34.120Z,True,20,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_05062024_232735_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-19T074835Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75025387,2024-06-22T10:45:24.990Z,36.04567,-120.60616,3.76,1.7,3833.091984829053,-2569.465430872196,2844.3701523735426,-1.0710000000000006,2024-06-22T10:45:14.990Z,2024-06-22T10:45:54.990Z,True,24,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_19062024_125414_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-22T104435Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_19062024_125414_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-22T104535Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75025517,2024-06-22T19:26:50.650Z,36.00233,-120.56017,2.2,1.5,2520.7980742605628,1566.6814072731518,-1974.8246249478404,-2.6310000000000002,2024-06-22T19:26:40.650Z,2024-06-22T19:27:20.650Z,True,28,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-22T192555Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-22T192655Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75025737,2024-06-23T03:52:07.870Z,36.03417,-120.59367,3.52,0.9,2131.334642529787,-1446.167452867623,1565.6267296881288,-1.3110000000000004,2024-06-23T03:51:57.870Z,2024-06-23T03:52:37.870Z,True,28,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-23T035155Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75025747,2024-06-23T03:52:33.640Z,36.0265,-120.60783,0.46,0.5,2811.506389250598,-2719.6581949452534,712.7604642964304,-4.371,2024-06-23T03:52:23.640Z,2024-06-23T03:53:03.640Z,True,28,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-23T035155Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-23T035255Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75025812,2024-06-23T08:51:53.700Z,35.99983,-120.5595,1.19,0.8,2778.865214606025,1626.938384475916,-2252.81232553142,-3.6410000000000005,2024-06-23T08:51:43.700Z,2024-06-23T08:52:23.700Z,True,28,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-23T085055Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-23T085155Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75026896,2024-06-25T07:21:36.020Z,36.07367,-120.65134,3.48,1.7,8915.67882494087,-6632.764281652836,5957.832398912318,-1.3510000000000004,2024-06-25T07:21:26.020Z,2024-06-25T07:22:06.020Z,True,28,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-25T072055Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-25T072155Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75027251,2024-06-25T21:20:11.620Z,36.075,-120.64,5.9,3.2,8293.636182607885,-5612.8924585482055,6105.721855623244,1.069,2024-06-25T21:20:01.620Z,2024-06-25T21:20:41.620Z,True,28,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-25T211955Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75027581,2024-06-26T15:22:09.160Z,36.0055,-120.573,4.25,0.8,1674.0319581211386,412.80526173334374,-1622.336220607849,-0.5810000000000004,2024-06-26T15:21:59.160Z,2024-06-26T15:22:39.160Z,True,28,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-26T152155Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75027751,2024-06-27T01:05:48.950Z,35.99233,-120.54733,3.28,0.9,4115.156164129903,2721.456910681944,-3086.7754272829484,-1.5510000000000006,2024-06-27T01:05:38.950Z,2024-06-27T01:06:18.950Z,True,28,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-27T010455Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_22062024_152134_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-27T010555Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75028721,2024-06-29T04:54:45.990Z,36.003,-120.57333,2.31,0.7,1938.5605184581948,383.12645206581453,-1900.3239211914286,-2.5210000000000004,2024-06-29T04:54:35.990Z,2024-06-29T04:55:15.990Z,True,32,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_28062024_112010_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-29T045432Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75029096,2024-06-30T12:27:32.030Z,36.0645,-120.63216,0.4,0.6,6962.184868205035,-4907.795889488326,4938.173513171104,-4.431,2024-06-30T12:27:22.030Z,2024-06-30T12:28:02.030Z,True,32,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_28062024_112010_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-30T122632Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_28062024_112010_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-06-30T122732Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75029601,2024-07-01T19:47:07.680Z,36.11567,-120.68233,7.18,0.9,14201.723975769295,-9419.874316748894,10628.025768720878,2.3489999999999993,2024-07-01T19:46:57.680Z,2024-07-01T19:47:37.680Z,True,32,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_28062024_112010_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-07-01T194632Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_28062024_112010_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-07-01T194732Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75030036,2024-07-03T02:54:45.520Z,35.95567,-120.51133,9.98,1.0,9317.867832714974,5959.145237997174,-7163.187068644798,5.149,2024-07-03T02:54:35.520Z,2024-07-03T02:55:15.520Z,True,33,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-07-01T23_24_54Z/SAFOD-Zumberge-16mGL-500HzFs_2024-07-03T025416Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
