pair_name,reference_event_id,comparison_event_id,trace_id,reference_trace_id,comparison_trace_id,reference_location,comparison_location,station,component,sample_rate_hz,band,band_low_hz,band_high_hz,reference_snr,comparison_snr,correlation,lag_s,usable
reconstruction_72154411,75336682,72154411,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB.40.DP1,40,40,CCRB,DP1,250.0,2.0-10.0Hz,2.0,10.0,691.3230767469552,572.4838204920397,0.9830000171897363,0.044,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB.40.DP1,40,40,CCRB,DP1,250.0,5.0-20.0Hz,5.0,20.0,2716.944230232654,2112.5343031014104,0.9857219333983236,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB.40.DP1,40,40,CCRB,DP1,250.0,10.0-40.0Hz,10.0,40.0,3802.5551128766233,2960.226382861448,0.9831227134568945,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB.40.DP1,40,40,CCRB,DP1,250.0,2.0-40.0Hz,2.0,40.0,1873.1209280535425,1773.4327290665647,0.9792103383426909,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB.40.DP2,40,40,CCRB,DP2,250.0,2.0-10.0Hz,2.0,10.0,690.1857849055642,498.6879717180122,0.9793347884185813,0.044,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB.40.DP2,40,40,CCRB,DP2,250.0,5.0-20.0Hz,5.0,20.0,1454.2922874862616,1116.2469158304011,0.9750797970190355,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB.40.DP2,40,40,CCRB,DP2,250.0,10.0-40.0Hz,10.0,40.0,1306.7237794477207,1019.2889769069969,0.9753394315210349,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB.40.DP2,40,40,CCRB,DP2,250.0,2.0-40.0Hz,2.0,40.0,893.4849965063515,718.1912335017189,0.9627795257860015,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB.40.DP3,40,40,CCRB,DP3,250.0,2.0-10.0Hz,2.0,10.0,768.1813950694735,659.4461359271244,0.9763395503623166,0.044,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB.40.DP3,40,40,CCRB,DP3,250.0,5.0-20.0Hz,5.0,20.0,1572.42563530698,1324.243259733028,0.9802532530528475,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB.40.DP3,40,40,CCRB,DP3,250.0,10.0-40.0Hz,10.0,40.0,1833.8013481128764,1420.2795343342214,0.9753864843837771,0.04,True
reconstruction_72154411,75336682,72154411,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB.40.DP3,40,40,CCRB,DP3,250.0,2.0-40.0Hz,2.0,40.0,1122.41165344694,1043.156285384481,0.9661912466729415,0.04,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,2.0-10.0Hz,2.0,10.0,690.9008979365634,1001.8509223045113,0.9713398645855206,0.032,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,5.0-20.0Hz,5.0,20.0,1446.960050781072,1920.2355947395904,0.9775076847504859,0.032,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,10.0-40.0Hz,10.0,40.0,1117.897190606578,1447.3693267240874,0.9835321204877283,0.028,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,2.0-40.0Hz,2.0,40.0,800.5611939215778,1156.0263265459116,0.9663977774351561,0.032,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,2.0-10.0Hz,2.0,10.0,241.94870997644685,351.40914857732406,0.9938660604118118,0.028,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,5.0-20.0Hz,5.0,20.0,299.70580918181815,381.51275111797696,0.9918107797717283,0.028,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,10.0-40.0Hz,10.0,40.0,203.67826644732844,254.7227746665356,0.9863692753665259,0.028,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,2.0-40.0Hz,2.0,40.0,221.8767390013183,292.4412959480593,0.9896900565174271,0.028,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB.40.DP3,40,40,LCCB,DP3,250.0,2.0-10.0Hz,2.0,10.0,647.8554715109351,1050.0167572094294,0.9633619943966121,0.036,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB.40.DP3,40,40,LCCB,DP3,250.0,5.0-20.0Hz,5.0,20.0,1143.1740879362753,1591.1669837538484,0.9762168165797801,0.032,True
reconstruction_72154411,75336682,72154411,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB.40.DP3,40,40,LCCB,DP3,250.0,10.0-40.0Hz,10.0,40.0,1003.1124691936136,1058.1156485381814,0.9722648406674556,0.032,True
